username,name,gender,age,location,bio,picture,class
masterchefterry,masterchefterry,Male,32,"Washington, DC",I'm a chef with a side job as lawyer,masterchefterry.jpg,
mateoV,Mateo,Male,40,My house & mturk,burgers beer &baseball,genericphoto4.png,
MedicalRyan,Ryan Loves TACO,Male,28,"West coast, best coast",MD Student at UCLA. TACOS 🌮 TACOS 🌮 TACOS 🌮 TACOS 🌮 TACOS 🌮,MedicalRyan.jpg,
mewranda,mewranda,Female,22,Home with 6 cats,Cat & Food & Love,genericphoto1.png,
MrShazam,MrShazam,Female,40,,,MrShazam.jpg,
NoahM1121,Noah Marshall,Male,28,PA,breakfast all day,genericphoto3.png,
PatelS,Shristi Patel,Female,25,Wakanda or Hogwarts,Not your every day Indian girl who loves butter chicken.,PatelS.jpg,
ria_camiii,Valeria Camilo,Female,28,"Wichita, KA",a smile is never the wrong decision,ria_camiii.jpg,
SamTHEMAN,Sam Kaldis,Male,20,"Green Bay, WI","UC '20      
Just looking for good friends, good food and good times",SamTHEMAN.jpg,
Smitty12,Dennis Smith,Male,24,"Boston, MA",Lover of all things Boston,Smitty12.jpg,
SnakeCharmer,Bao,Male,23,my heart is in Houston,love to travel and eat!,SnakeCharmer.jpg,
snowbird,Jake Owens,Male,32,"Burlington, VT",eat + sleep + tear it up,snowbird.jpg,
southerngirlCel,Celia McCarron,Female,21,"Scottsdale, AR",,southerngirlCel.jpg,
Sue_S,Sue Shaw,Female,45,"Boise, ID",one day at a time,genericphoto6.png,
sweetietooth,Wendy,Female,42,"Champaign, IL","I have a constant sweet tooth, so I like anything from the bakery, like cupcakes, cookies.",sweetietooth.jpg,
sweetpea,Anna,Female,25,"San Francisco, CA",the best thing in life is seeing my mom's face when I cook for *her* for a change,sweetpea.jpg,
tacoguy,Santiago Coros,Male,28,your moms house,real life: grad student in physics. dream life: taco truck owner,tacoguy.jpg,
tastyrobot,TastyHae,Female,24,"Pittsburgh, PA","i'd say that fast food is my guilty pleasure, but I don't actually feel guilty about it.",tastyrobot.jpg,
this_jack,Jack Boy,Male,26,"New York, NY",👃 It's a car air freshner that I stick into my nose.,this_jack.jpg,
thisisalfie1998,thisisalfie1999,Male,20,Chicago,HDA '15 --> UChi '19 Go bears!!!,thisisalfie1998.jpg,
TimBJenkins,Dad Jenkins,Male,42,,Husband of a strong businesswoman and father of a beautiful ballerina,TimBJenkins.jpg,
TomM41,Tom Mallott,Male,45,"Florida
",Business Professional. Husband. Father.,TomM41.jpg,
VitaBOCA,VitaBOCA,Female,25,"New York, NY","✔️Fat Loss Never Tasted So Good.
✔️Reduces Cravings.
✔️Enhances Mood.
✔️Enhances Definition & Leanness.
✔️All Day, Smooth Energy.",VitaBOCA.jpg,
wiz_khaleesi,Wiz Khaleesi,Female,25,,👽,wiz_khaleesi.jpg,
youngcunningham,Michael Cunningham,Male,22,TN,football is life. UT Nutrition Program '18.,youngcunningham.jpg,
generic-joe,Joe G.,Male,25,"Ithaca, NY",I'm generic!,,
undefined,PENNY!!!,Female,6,"my mommy's trash can",woof,penny.jpg,
cafevagabond,Otis Haney,Male,23,"Tokyo, Japan","Digital nomad by day, coffee snob by night | Sharing adventures, tips & tricks",CafeVagabond.jpg,
FortifyForward,Chana Diaz,Female,26,New York City,Passionate about cyber security | Helping others grow & succeed,FortifyForward.jpg,
pixelsAndpaint,pixelsAndpaint,Male,22,"Paris, France",Creative soul | Exploring the intersection of art & tech,pixelsAndpaint.jpg,
ImagineNation,Mallory,Female,34,"Sydney, Austrailia",Curious entrepreneur | Brining innovative ideas to life,ImagineNation.jpg,
RovingReporter,Miguel,Male,34,"London, UK","World traveler at heart | Sharing stories, experiences & inspiration",RovingReporter.jpg,
plant_pioneer,Nathan,Male,32,"Rio de Janeiro, Brazil",I'm a marketing manager with a passion for sustainability. Let's connect and grow together!,plant_pioneer.jpg,
roastrando,roastrando,Female,22,NYC <3,just a cofee lover from nyc with a love for trying new roasts. #coffeeaddict,roastrando.jpg,
The_Impact_Agent,The_Impact_Agent,Female,23,"Beijing, China","I'm all about spreading postivity and self-empowerment. Building connections and making an impact, one post at a time!",The_Impact_Agent.jpg,
bitebybite,Jaylen,Male,26,"Cairo, Egypt","welcome to my corner of the internet, and i love trying new recipes and experimenting with food!",bitebybite.jpg,
MindmeldAI,Chandler,Male,24,"Mumbai, India","""A software engineer with a curiosity for AI. Join me on my journey of learning and growth!",MindmeldAI.jpg,
c@ke_wrecker,Laila Ferguson,Female,32,"Moscow, Russia",Caked and confused,cakewrecker.jpg,
jokesterr,Liana,Female,31,"Berlin, Germany",Prankster by trade. Instigator by choice.,jokesterr.jpg,
WordWeaver88,Oakley Berger,Male,35,"Rome, Italy",Word Weaving Wizard,WordWeaver88.jpg,
sugarRiot,Laylah,Female,21,"Barcelona, Spain","Savage with sass, Sweet with snark",sugarRiot.jpg,
motivatedMeh,Wesley Bond,Male,23,"Amsterdam, Netherlands","Fueled by coffee, powered by procrastination",motivatedMeh.jpg,
cornfusion,Alena Carter,Female,22,New York City,"crafting words that's a-maize-ing, one sentence at a time.",cornfusion.jpg,
teasipper101,Maverick,Male,24,Hong Kong,"Spilling the tea on all things, one cup at a time.",teasipper101.jpg,
IngeniousThreads,Ramon Garrison,Male,41,Singapore,"I'm not just a fashion desinger, I'm the 'root' of all creativity.",IngeniousThreads.jpg,
InkSlinger99,Cadence Terry,Female,27,"Arkansas, US","Where words meet wit and wisdom, that's where you'll find me - a journalist by day, a pun-master by night.",InkSlinger99.jpg,
JokeBuster3000,Armani,Male,21,"Moscow, Russia","my bio may contain sarcasm, humor, and a cat joke.",JokeBuster3000.jpg,
CerebroCrochet,CerebroCrochet,Female,28,"Athens, Greece","Linguist by day, pun-isher by night",CerebroCrochet.jpg,
Sassatrice,Donald Francis,Male,22,"Istanbul, Turkey",Sass and sparkle are my superpowers,Sassatrice.jpg,
VinoVixen23,Daniella Price,Female,26,"Paris, France",Wine not? I'm a social media sommelier,VinoVixen23.jpg,
emojizzle,Brooks,Female,24,New York City,Emojis and awesomeness are my love language,emojizzle.jpg,
BrewtifulMorning,Livia Simpson,Female,22,"Tokyo, Japan","I'm not a morning person, but coffee makes me perky-patrol",BrewtifulMorning.jpg,
SocialSavvy5,Elliot Middleton,Male,36,"Detroit, Michigan",Results-driven digital marketing professional with 5+ years of experience in developing and executing social media strategies that drive engagement,SocialSavvy5.jpg,
Connectory,Madalyn Montoya,Female,34,"Vienna, Austria",Professional influencer and content creator with a focus on artificial intelligence. I help brands build brand awareness and drive website traffic.,Connectory.jpg,
TeamTango23,Misael Castro,Male,32,"Prague, Czech Republic",Seasoned social media manager and strategiest with expertise in crafting comprehensive social media plans that align with business objectives,TeamTango23.jpg,
SociusSage,Eloise,Female,29,"Budapest, Hungary",Experienced digital communications specialist with a background in creating and implementing effective social media campaigns,SociusSage.jpg,
PRPioneer,Paul Chavez,Male,39,"Warsaw, Poland","Skilled in media relations, crisis communications, and social media analytics",PRPioneer.jpg,
breathethebetterdays,Nevaeh Edwards,Female,25,"San Diego, California","After struggling with anxiety in my early 20s, I discovered the power of mindfulness and meditation. I'm passionate about sharing self-care tips.",breathethebetterdays.jpg,
Momentkeeper,Adrain Glenn,Male,35,"Detroit, Michigan","As a kid, I was obsessed with photography. Today, I'm a professional photographer capturing life's most precious moments.",Momentkeeper.jpg,
Beyond_The_Pain,Blaire Booth,Female,28,"Detroit, Michigan","""In 2018, I lost my Mom to cancer. But from that dark place, I found a new purpose: using my experiences to support others dealing with grief and loss.",Beyond_The_Pain.jpg,
MakeAGif,Chaim Sims,Male,56,"Helsinki, Finland","As a former teacher, I realized that education isn't just about textbooks - it's about empowering people to make a differnce",MakeAGif.jpg,
DreamLaunch,Lena Morrow,Female,34,"Jacksonville, Florida","Growing up, I always dreamed of starting my own business. After years of hard work and persevarance, I finally took the leap and launced my own business of makeup!",DreamLaunch.jpg,
wanderwise,Kyree Barrea,Female,29,"Rome, Italy",i started this account to share my adventures and inspire others to take the leap and explore new horizons.,wanderwise.jpg,
chronic_champ,Bea Riley,Female,29,New York City,"I was diagnosed with chronic illness/disability for a year, but it didn't define me. I turned my struggles into strengths and now I'm on a mission to bring positivity",chronic_champ.jpg,
InspireBrush,Amari Roberts,Female,28,"Florence, Italy","As a creative at heart, I always felt like I was meant to make art, not just for myself, but for others.",InspireBrush.jpg,
recipeForlove,Paisley,Female,27,"Venice, Italy","growing up, food was more than just sustenance - it was love. i share my favorite recipes and restaurant finds to spread joy and nourishment to my community",recipeForlove.jpg,
Ring_Of_Purpose,Pierce Barrera,Male,24,"Columbus, Ohio","As a college wrestler, I've seen firsthand the impact that injuries can have on individuals and communities. I'm dedicated to implement injury safety for wrestlers",Ring_Of_Purpose.jpg,
WANDERANDINK,Beatrice Salinas,Female,34,Hong Kong,"""follow me for a healthy dose of sarcasm, book recommendations, and wanderlust vibes",WANDERANDINK.jpg,
marginaut,Edgar,Male,27,"Zurich, Switzerland","Through my social entrepreneurship ventures, I'm working to create postive change in the world, one project at a time",marginaut.jpg,
NomadNotes,Hector Sanders,Male,36,"Austin, Texas","I traded in my corporate 9 to 5 for a life of spontaneous adventures and endless learning. Follow me for travel tips, and a peek into the life of a nomad.",NomadNotes.jpg,
brija_beloved,Nyla Hail,Female,28,New York City,"As a queer woman of color, I know firsthand the power of community and connection. I'm working to create a space where people of all backgrounds can feel loved",brija_beloved.jpg,
song_sationalist456,Everleigh,Female,37,"Jacksonville, Florida","I went from scrappy indie musician to full-time music therapist, using the healing power of music to help people of all ages and abilities.",song_sationalist456.jpg,
WhenNoONeIsWatching87,WhenNoONeIsWatching87,Male,29,"San Diego, California","""I can recite the entire script of 'The Big Lebowski' from memory (but only when no one is watching)."" ",WhenNoOneIsWatching87.jpg,
arachnophile_adopter,Imani Li,Female,27,"Columbus, Ohio",I have a pet tarantula named Mr. Whiskers who think he's a lap cat.,arachnophile_adopter.jpg,
Toed_Tones,Jorge,Male,42,"Austin, Texas",I can play the harmonica with my feet... mediocrely.,Toed_Tones.jpg,
CostumedRebe1,Bethany Wood,Female,41,"Paris, France",I've been known to wear the same outfit for an entire week (mostly because I'm a fan of the 'costume-of-the-day' challenge).,CostumedRebe1.jpg,
MugMasterMC,Carson,Male,24,"Tokyo, Japan",I can solve a Rubik's Cube in under 2 minutes... when I'm not holding a coffee mug (caffeine powers the precise twists and turn of my puzzle skiles).,MugMasterMC.jpg,
BuzKilla,Katherine Gilmore,Female,27,"Barcelona, Spain",I'm a certified video game snob with a caffeine-dependent personality,BuzzKilla.jpg,
Globe_Trotter_In_Limbo,Vihaan Blanchard,Male,28,"Tokyo, Japan",I've traveled to 15 countries and still can't decide where to live permanetly (it's a tough life),Globe_Trotter_In_Limbo.jpg,
TheOfficeOCD,Layne Tang,Female,29,"Valencia, Spain",I can recite most episodes of 'The Office' from memory (but don't ask me to do math),TheOfficeOCD.jpg,
Heelarious_Hoarder,Rogelio,Male,25,"Beijing, China","My favorite hobby is collecting weird socks (I have over 50 pairs, don't judge me)",Heelarious_Hoarder.jpg,
Ailse_Groove_Master,Amayah,Female,28,"Austin, Texas","""i've been known to break into spontaneous dance parties in the grocery store aisle",Aisle_Groove_Master.jpg,
BingeByNight,Stefan Tyler,Male,24,New York,"optimist by day, netflix binge-watcher by night",BingeByNight.jpg,
PawsForACup,Helena Fitzpatrick,Female,32,"Jacksonville, Florida","part-time dog mom, full-tiome coffee snob",PawsForACup.jpg,
greenbeangranny,Blaze Macias,Female,28,"Athens, Greece","When I'm not a nurse, I'm probably rewatching old episodes of 'Friends' and pretending I'm Rachel Green",greenbeangranny.jpg,
DoughReMi,Adley Foley,Female,21,"Detroit, Michigan",I'm a firm believer that pizza is the answer to all of life's questions,DoughReMi.jpg,
felinefatale99,Kailey Daugherty,Female,56,"Antalya, Turkey",warning: i'm a sucker for cat videos and will accidentally spend hours watching them,felinefatale99.jpg,
GreyAreaGuru,Mohammad Randolph,Male,27,New York City,"She believed she could, so she did. - R.S Grey",GreyAreaGuru.jpg,
sharetheart,Turner,Male,25,"Ankara, Turkey",The purpose of life is to find your gift. The meaning of life is to give it away. - Pablo Picasso,sharetheart.jpg,
candoit92,candoit92,Female,29,"Lahore, Pakistan",believe you can and you're halfway there. - theodore roosevelt,candoit92.jpg,
changemaker2000,Lewis Bradshaw,Male,29,"Los Angeles, California",Be the change you wish to see in the world. - Mahatma Gandhi,changemaker2000.jpg,
dreamweaver$,Berkley McDaniel,Male,21,"Tokyo, Japan","""The world needs dreamers and the world needs doers. But above all, the world needs dreamers who do."" Sarah Ban Breathnach",dreamweaver$.jpg,
ReginaRules,Major Meadows,Male,32,"Tehran, Iran",Be yourself," because an original is worth more than a copy."""" - Regina George""",
LegacyLeaf,Pearl Arroyo,Female,38,"Columbus, Ohio","The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well",LegacyLeaf.jpg,
DailyDynamo,Alberto,Male,36,"Rome, Italy",Follow me for daily workout routines and healthy recipes! #fitnessmotivation,DailyDynamo.jpg,
SocialSpark55,Ymir Whitaker,Female,34,"San Diego, California","With 5 years of experience in digital marketing, I've helped businesses grow their social media presence by an average of 50%!",SocialSpark55.jpg,
SunSeeker101,Keith,Male,21,New York City,"I've racked up 1 million followers on Instagram, making me one of the top 1% in the travel industry!",SunSeeker101.jpg,
TrafficTitan,Lilianna,Female,23,"Austin, Texas","My content has been 300% more engaging than the industry average, resulting in a 25% increase in website traffic!",TrafficTitan.jpg,
30percentplus,Onyx Cuevas,Female,38,"San Diego, California",I've helped 10 clients achieve a 30% increase in sales through social media strategy and management!,30percentplus.jpg,
5KVoice,Adele Benson,Female,34,"San Diego, California","""i've spoken at 20 events and 5 conferences, sharing my expertise with 5,000 attendees!",5KVoice.jpg,
SincerityStation,Desmond Stewart,Male,20,"Boston, Massachusetts","Embracing authenticity, one post at a time.",SincerityStation.jpg,
OffCampusVibes,Maya Hunter,Female,21,Vietnam,"living my best life, online and off.",OffCampusVibes.jpg,
kindness_kolab,Archer Kent,Male,29,"Beijing, China","Sharing kindness, amplifying voices.",kindness_kolab.jpg,
Unbridled_Me,Jazmine,Female,28,"Seattle, Washington","Unapologetically me, always",Unbridled_Me.jpg,
RiseAndBloom,Victoria Humphery,Female,25,"Tokyo, Japan","Empowering women, one post at a time",RiseAndBloom.jpg,
abovethefray,Mateo King,Male,22,Hong Kong,"Rise above the noise, be the light you seek.",abovethefray.jpg,
theinformer23,Krew,Male,28,"Los Angeles, California","I'm not arguing, I'm just explaining why I'm right. There's a difference",theinformer23.jpg,
BugsAndBleach,Summer,Female,26,"Jacksonville, Florida","I'm a programmer not a miracle worker. Coding by day, anime by night",BugsAndBleach.jpg,
precisionPain,Jonathan McCullough,Male,38,"Chicago, Illinois",Warning: I'm a graphic designer with a 90 percent accuracy rate making you question our design choices. Proceed with caution,precisionPain.jpg,
GrowthGuru99,Hana Benitez,Female,36,New York City,"SaaS Marketing Strategist | 10+ years of helping startups scale their sales and marketing efforts. HubSpot Certified, Google Analytics ninja",GrowthGuru99.jpg,
Pythosaurus,Justice,Male,39,"San Antonio, Texas","""AI Engineer | Ph.D. in Computer Science, 5+ years of experience buiding machine learning models for Fortune 500 companies",Pythosaurus.jpg,
SustainaStylr,Azariah Bell,Female,37,"San Diego, California",Interior Designer | 15+ years of designing luxury homes and commercial spaces. Passionate about sustainable design,SustainaStylr.jpg,
doughdelay,Emmett Wise,Male,32,"Phoenix, Arizona","Professional procrastinator, amateur baker, and expert at making excuses for why I'm late. If you need something done, I'm your person",doughdelay.jpg,
sn00zeControl,Mira Brown,Female,27,"Detroit, Michigan","I'm not lazy, I'm just on energy-saving mode. Like your phone, but without the notifications""",sn00zeControl.jpg,
ZenSnoozer,Elijah O'Neal,Male,22,"Columbus, Ohio","My motto is 'live life to the fullest'... or at least take a nap to recharge. Asking for a friend""",ZenSnoozer.jpg,
TheVerbalFlub,Treasure Hurst,Male,27,"Chicago, Illinois","if i had a nickel for every time i forgot what i was saying, i'd have at least 5 nickels.",TheVerbalFlub.jpg,
reachyourpeak23,Neil Stokes,Male,26,Hong Kong,"Transforming lives, one goal at a time. Let's crush your goals together! #motivation #careergoals",reachyourpeak23.jpg,
PurrfectVibez,Miranda,Female,45,"San Jose, California",Laughter is my love language. #comedy #goodtimes,PurrfectVibes.jpg,
page_painter,Jeremias Christensen,Male,22,"Fort Worth, Texas","""Art is my passion. As a painter and writer, I'm constantly seeking inspiration and pushing the boundaries of creativity",page_painter.jpg,
BridgeBuilder3000,Carmen Swanson,Female,29,"Philadelphia, Pennsylvania","Building bridges, not walls. As a civil enginner, I'm dedicated to creating sustainable solutions for a better future. Follow me for updates on my projects and insights.""",BridgeBuilder3000.jpg,
SoulfulFlow,Hugo,Male,22,"Los Angeles, California","""Nourishing body, mind, and soul. I'm on a mission to help others find balance and harmony in their lives. #wellness",SoulfulFlow.jpg,
aspire_with_me,Annabella Martin,Female,32,"Indianapolis, Indiana","empowering individuals to unlock their full potential. passionate about self-improvement, mindfulness, and helping others achieve their wildest dreams!",aspire_with_me.jpg,
terraverde,Tara Garner,Female,22,"Detroit, Michigan","Exploring the world, one adventure at a time. Sharing stories, tips and stunning visuals from my journeys.",terraverde.jpg,
RecipeRenegade,Joanna Lin,Female,23,New Jersey,Pursuing my passion for cooking and sharing it with the world! Bon appetit!,RecipeRenegade.jpg,
CompassionConnects,Conor Rosas,Male,26,"Houston, Texas","let's break free from limitations and create a more compassionate, uplifting world - together!",CompassionConnects.jpg,
inner_pace,Joelle,Female,25,"Boston, Massachusetts","Guiding individuals on their path to wellness, self- care, and inner peace. Sharing knowledge on mindfulness.",inner_pace.jpg,
QuesterbyDay,Douglas Neal,Male,21,"Barcelona, Spain",I'm a curious explorer by day and problem-solver by night. Swipe right to discover my latest adventures.,QuesterbyDay.jpg,
